customer_id,customer_postal_code
5f9d4ba1b2825bd9d4c3af5722c8f790,39404
b40bc204d9bccb87d0afa5cefba3514b,5407
28b4954efb44438d6b8eddc52ed8c341,11722
26e5c2e1e7668eefaeb8167189969593,17202
ae44c1a320c2e798ac2c6dd1877e5232,37620
cc3f3f1bc77d9c5797b6ed1515303cfd,6436
a36a736c8e0286e11a01c4dc3f35dbc7,96211
4e7e0377c75e401e33a8f26d03d4f47e,13457
8d08191922d74867056720732d38fdf6,88010
73266b890f2a488defa51ddfe4ec9be3,88034
07cb625d1689d0583fc1d853bb4b58b5,91787
fc40e6031c71c3809e29bddd7fe948bb,90020
0a8bbe8223edbb48f6525d97ee1b1d7d,8021
1f8b48fc13156bee025e08a474a6a4ed,22010
dc7302a83e9681f614bb59a515df38b3,15700
8105703f93b22552cc54833b05568660,83050
f1d7846fb1398fc65697ee1c7bebe0d9,46650
0c269f2f893647162407337e7d8ddc4b,90550
d3df02177d82cf2102f7448e9764dee6,21310
debcdbb31583da1dbb6560b95ee39b18,7903
25fc5fcd13751095236ea257c9cfb62a,23066
02b9bbbd5bec26b61cfd9bd3944c2ffb,71015
2c8caa2f52a7abfe77e93f198a3af0e4,11089
3fdd4a93bb80c78e818830946d34cae1,71503
13fd7ce9f08449dec2533119379a2527,29162
7a89b488bf7b415c2674060d36808b4f,78740
e12a0ae4edb2165eaa6f32b8b3b863d2,71730
a3d2aebb19110db6d233642344452394,14300
e8eea2984a4778e4ab5f3769893fba81,75495
481bc44dade5fd594cc14012ba50b262,29143
ee46c93e6151b7c853a1fd784065695f,84900
ce77075ed8a9f941a7d9a3f6e6aaffb9,13285
12c7495c7caabfb836cfdacfb07f8ae8,8141
906e9dacc899d7bedf34e9e357eb029d,14784
02307143f7dce7b43056056566b8e987,12032
9a1f5555eaee7cc9a44ee79edca16b5a,70834
e0e226f1c923bbf1ddfff85365e8933e,11723
7937eac19cc0bd862c09e350e43fb152,4571
db65a636fcd05b218b138dc46a2cbb4e,14166
fab24554bc9a6b466c61b9f4c0f4b7d9,16021
addeb8729d2995e56078e6787858960f,94030
c93628f3179270d786e3b86127cea956,13801
01edba0c1380aa0c91437bee4b7193a5,14403
262f9e6567891bd8c5bcdfe9aaa67e4b,4537
6fca6a52d99cfa5bcb98ce55e43a9686,33600
384a8d5643cc3e1a4fd8d72ee61c2016,85812
13f1c2d6b9a507bb66e4cae829635936,13076
3fb3cc7d768688f0f919e33ab4b3da2c,93334
416e59b08933168cebeda1fc262a76eb,5588
8db0be73eebc0c7a758ffbcdbade580d,21842
b61c63aace73cb64dcc63b841463dc11,22755
02ee17ed5705b0015ca334b76b8373e5,75660
43902eda68737314fb872bead877e1b5,17230
1cd89fa8c8e91231c0c1a15165f668df,4298
b942cab34162601135ebc316dea824a7,8420
5c8d317f3565842d664a1a822d033123,31330
bbd6514b6c09971bdc16eed023d04f51,89683
a9cade3439281b14f81dbaa4ea56242c,45655
4107c63786c93fe20a10b7072de5c14e,19010
9cd5e05a30f36125715250b8a012d354,89694
